Known As,Full Name,Overall,Nationality,Age,Club Name,Wage(in Euro)
'Morato','Felipe Rodrigues da Silva',74,'Brazil',21.0,'SL Benfica',8000.0
'Sergi Enrich','Sergi Enrich Ametller',74,'Spain',32.0,'Real Oviedo',11000.0
'André Horta','André Filipe Luz Horta',74,'Portugal',25.0,'SC Braga',13000.0
'S. Rondón','Salomón Rondón',74,'Venezuela',32.0,'Everton',36000.0
'S. Dioudis','Sokratis Dioudis',74,'Greece',29.0,'Panathinaikos FC',650.0
'R. Rodríguez','Ricardo Rodríguez',74,'Switzerland',29.0,'Torino F.C.',33000.0
'C. Richards','Chris Richards',74,'United States',22.0,'Crystal Palace',34000.0
'J. Rasmussen','Jacob Rasmussen',74,'Denmark',25.0,'Feyenoord',35000.0
'L. Hejda','Luká Hejda',74,'Czech Republic',32.0,'FC Viktoria Plzen',950.0
'Estevão Baldeiro','Estevão Danilo Baldeiro Lopes',74,'Brazil',26.0,'Flamengo',28000.0
'D. Da Silva','Damien Da Silva',74,'France',34.0,'Olympique Lyonnais',42000.0
'S. Kryvtsov','Sergiy Kryvtsov',74,'Ukraine',31.0,'Shakhtar Donetsk',850.0
'Jadson','Jadson Silva de Morais',74,'Brazil',30.0,'Shandong Taishan',18000.0
'S. Viera','Sebastián Viera',74,'Uruguay',39.0,'Junior FC',2000.0
'T. unjic','Toni unjic',74,'Bosnia and Herzegovina',33.0,'Henan Songshan Longmen FC',11000.0
'C. Stankovic','Cican Stankovic',74,'Austria',29.0,'AEK Athens',950.0
'S. Duffy','Shane Duffy',74,'Republic of Ireland',30.0,'Fulham',45000.0
'A. Ulmer','Andreas Ulmer',74,'Austria',36.0,'FC Red Bull Salzburg',16000.0
'D. von Ballmoos','David von Ballmoos',74,'Switzerland',27.0,'BSC Young Boys',15000.0
'J. Castelletto','Jean-Charles Castelletto',74,'Cameroon',27.0,'FC Nantes',20000.0
'C. Zambrano','Carlos Zambrano',74,'Peru',32.0,'Boca Juniors',14000.0
'D. Bulthuis','Dave Bulthuis',74,'Netherlands',32.0,'Suwon Samsung Bluewings',6000.0
'Lazo','José Carlos Lazo Romero',74,'Spain',26.0,'RCD Espanyol de Barcelona',17000.0
'Cláudio Ramos','Cláudio Pires de Morais Ramos',74,'Portugal',30.0,'FC Porto',9000.0
'Andrés Fernández','Andrés Eduardo Fernández Moreno',74,'Spain',35.0,'SD Huesca',5000.0
'J. Cazares','Juan Cazares',74,'Ecuador',30.0,'Club Atlético Independiente',14000.0
'C. Gordon','Craig Gordon',74,'Scotland',39.0,'Heart of Midlothian',3000.0
'I. Radu','Ionu? Andrei Radu',74,'Romania',25.0,'US Cremonese',32000.0
'C. Kabasele','Christian Kabasele',74,'Belgium',31.0,'Watford',34000.0
'J. Nilsson','Joakim Nilsson',74,'Sweden',28.0,'Free agent',0.0
'Éderson','Éderson José dos Santos',74,'Brazil',22.0,'Atalanta',32000.0
'J. Rodriguez','Jay Rodriguez',74,'England',32.0,'Burnley',40000.0
'Nuno Tavares','Nuno Albertino Varela Tavares',74,'Portugal',22.0,'Olympique de Marseille',46000.0
'M. Friedl','Marco Friedl',74,'Austria',24.0,'SV Werder Bremen',17000.0
'Borja Mayoral','Borja Mayoral Moya',74,'Spain',25.0,'Getafe CF',24000.0
'J. Ward','Joel Ward',74,'England',32.0,'Crystal Palace',39000.0
'S. Dursun','Serdar Dursun',74,'Turkey',30.0,'Fenerbahçe SK',54000.0
'L. Balogun','Leon Balogun',74,'Nigeria',34.0,'Queens Park Rangers',28000.0
'A. Obispo','Armando Obispo',74,'Netherlands',23.0,'PSV',12000.0
'P. Berg','Patrick Berg',74,'Norway',24.0,'FK Bodø/Glimt',5000.0
'A. Bardakci','Abdülkerim Bardakci',74,'Turkey',27.0,'Galatasaray SK',45000.0
'P. Hofmann','Philipp Hofmann',74,'Germany',29.0,'VfL Bochum 1848',24000.0
'K. Swiderski','Karol Swiderski',74,'Poland',25.0,'Charlotte FC',9000.0
'M. Plattenhardt','Marvin Plattenhardt',74,'Germany',30.0,'Hertha BSC',24000.0
'L. Kilian','Luca Kilian',74,'Germany',22.0,'1. FC Köln',19000.0
'N. Petersen','Nils Petersen',74,'Germany',33.0,'Sport-Club Freiburg',26000.0
'Nilson Alfarinho','Nilson Leôncio Alfaro Soares',74,'Brazil',38.0,'Atlético Clube Goianiense',6000.0
'J. Angulo','Juan Angulo',74,'Colombia',33.0,'Club Deportes Tolima',4000.0
'E. Ponce','Ezequiel Ponce',74,'Argentina',25.0,'Elche CF',19000.0
'G. Ferrari','Gian Marco Ferrari',74,'Italy',30.0,'U.S. Sassuolo Calcio',25000.0
'M. Mohamed','Mostafa Mohamed',74,'Egypt',24.0,'FC Nantes',47000.0
'Y. Maleh','Youssef Maleh',74,'Morocco',23.0,'Fiorentina',35000.0
'R. Marin','Razvan Marin',74,'Romania',26.0,'Empoli',5000.0
'Elias Fontoira','Elias Thiago Fontoira Marques',74,'Brazil',26.0,'Internacional',21000.0
'K. Malcuit','Kévin Malcuit',74,'France',30.0,'MKE Ankaragücü',13000.0
'L. Sepe','Luigi Sepe',74,'Italy',31.0,'US Salernitana 1919',17000.0
'M. Pongracic','Marin Pongracic',74,'Croatia',24.0,'Lecce',28000.0
'J. Amavi','Jordan Amavi',74,'France',28.0,'Getafe CF',30000.0
'M. Crépeau','Maxime Crépeau',74,'Canada',28.0,'Los Angeles FC',6000.0
'Nuno Santos','Nuno Miguel Valente Santos',74,'Portugal',23.0,'Charlotte FC',7000.0
'M. Uhre','Mikael Uhre',74,'Denmark',27.0,'Philadelphia Union',9000.0
'Arbilla','Anaitz Arbilla Zabala',74,'Spain',35.0,'SD Eibar',7000.0
'M. Nastasic','Matija Nastasic',74,'Serbia',29.0,'RCD Mallorca',21000.0
'F. Woodman','Freddie Woodman',74,'England',25.0,'Preston North End',21000.0
'A. Tuanzebe','Axel Tuanzebe',74,'England',24.0,'Manchester United',60000.0
'P. Musa','Petar Musa',74,'Croatia',24.0,'SL Benfica',12000.0
'Álex Centelles','Alejandro Centelles Plaza',74,'Spain',22.0,'Unión Deportiva Almería',17000.0
'O. Solet','Oumar Solet',74,'France',22.0,'FC Red Bull Salzburg',19000.0
'J. Worrall','Joe Worrall',74,'England',25.0,'Nottingham Forest',42000.0
'B. Ramselaar','Bart Ramselaar',74,'Netherlands',26.0,'FC Utrecht',15000.0
'P. Hroovský','Patrik Hroovský',74,'Slovakia',30.0,'KRC Genk',15000.0
'M. Coda','Massimo Coda',74,'Italy',33.0,'Genoa',6000.0
'Ferro','Francisco Reis Ferreira',74,'Portugal',25.0,'Vitesse',11000.0
'Enzo Marteiro','Enzo Wellington Marteiro Santoso',74,'Brazil',30.0,'Flamengo',23000.0
'C. Benteke','Christian Benteke',74,'Belgium',31.0,'D.C. United',9000.0
'Jubal','Jubal Rocha Mendes Júnior',73,'Brazil',28.0,'AJ Auxerre',15000.0
'Henrique','Henrique Silva Milagres',73,'Brazil',28.0,'Olympique Lyonnais',41000.0
'Jony','Jonathan Rodríguez Menéndez',73,'Spain',30.0,'Real Sporting de Gijón',34000.0
'I. Zabarnyi','Illia Zabarnyi',73,'Ukraine',19.0,'Dynamo Kyiv',500.0
'S. Mustafi','Shkodran Mustafi',73,'Germany',30.0,'Levante Unión Deportiva',10000.0
'G. Giakoumakis','Georgios Giakoumakis',73,'Greece',27.0,'Celtic',43000.0
'D. Randolph','Darren Randolph',73,'Republic of Ireland',35.0,'West Ham United',22000.0
'J. Broun','Jorge Broun',73,'Argentina',36.0,'Rosario Central',7000.0
'M. Dupé','Maxime Dupé',73,'France',29.0,'Toulouse Football Club',12000.0
'S. Caulker','Steven Caulker',73,'Sierra Leone',30.0,'Fatih Karagümrük S.K.',19000.0
'C. Tosun','Cenk Tosun',73,'Turkey',31.0,'Besiktas JK',39000.0
'J. Komar','Juan Cruz Komar',73,'Argentina',25.0,'Rosario Central',11000.0
'R. Haps','Ridgeciano Haps',73,'Suriname',29.0,'Venezia FC',5000.0
'L. Abada','Liel Abada',73,'Israel',20.0,'Celtic',33000.0
'M. Lowton','Matthew Lowton',73,'England',33.0,'Burnley',31000.0
'Jorge Cuenca','Jorge Cuenca Barreno',73,'Spain',22.0,'Villarreal CF',19000.0
'C. Basham','Chris Basham',73,'England',33.0,'Sheffield United',21000.0
'C. Piccini','Cristiano Piccini',73,'Italy',29.0,'1. FC Magdeburg',11000.0
'S. Davis','Steven Davis',73,'Northern Ireland',37.0,'Rangers FC',29000.0
'J. Laporte','Julien Laporte',73,'France',28.0,'FC Lorient',15000.0
'Mario González','Mario González Gutiérrez',73,'Spain',26.0,'Oud-Heverlee Leuven',13000.0
'Nacho','José Ignacio Martínez García',73,'Spain',33.0,'CD Tenerife',9000.0
'S. Bahoken','Stéphane Bahoken',73,'Cameroon',30.0,'Kasimpasa SK',14000.0
'Sandelas Júnior','Leonardo Luis Sandelas Junior',73,'Brazil',30.0,'Santos',20000.0
'O. Abildgaard','Oliver Abildgaard',73,'Denmark',26.0,'Celtic',36000.0
'T. Kacharaba','Taras Kacharaba',73,'Ukraine',27.0,'SK Slavia Praha',1000.0
'C. Bravo','Claudio Bravo',73,'Argentina',25.0,'Portland Timbers',7000.0
'S. Romagnoli','Simone Romagnoli',73,'Italy',32.0,'Parma',5000.0
'Jeffmeirson','Jeff Nazario Meire Costinho',73,'Brazil',30.0,'RB Bragantino',13000.0
'M. Robinson','Miles Robinson',73,'United States',25.0,'Atlanta United',7000.0
'Léo Duarte','Leonardo Duarte da Silva',73,'Brazil',25.0,'Istanbul Basaksehir FK',25000.0
'Rubén Castro','Rubén Castro Martín',73,'Spain',41.0,'Málaga CF',7000.0
'J. Hendry','Jack Hendry',73,'Scotland',27.0,'US Cremonese',18000.0
'Raíllo','Antonio José Raíllo Arenas',73,'Spain',30.0,'RCD Mallorca',19000.0
'Joo Min Kyu','Min Kyu Joo',73,'Korea Republic',32.0,'Jeju United FC',8000.0
'A. Bella Kotchap','Armel Bella Kotchap',73,'Germany',20.0,'Southampton',26000.0
'Y. Brecher','Yanick Brecher',73,'Switzerland',29.0,'FC Zürich',12000.0
'I. Traoré','Ismaël Traoré',73,'Côte d''Ivoire',35.0,'FC Metz',5000.0
'J. Larrivey','Joaquín Larrivey',73,'Argentina',37.0,'Cosenza',3000.0
'J. Lucumí','Jhon Lucumí',73,'Colombia',24.0,'Bologna',20000.0
'Juan Soriano','Juan Soriano Oropesa',73,'Spain',24.0,'CD Tenerife',6000.0
'Léo Jardim','Leonardo Cesar Jardim',73,'Brazil',27.0,'LOSC Lille',18000.0
'R. Zieler','Ron-Robert Zieler',73,'Germany',33.0,'Hannover 96',17000.0
'G. Kvilitaia','Giorgi Kvilitaia',73,'Georgia',28.0,'APOEL Nicosia FC',1000.0
'Nuno Lisareda','Nuno Caio Lisareda Abravanel',73,'Brazil',22.0,'Sport Club Corinthians Paulista',22000.0
'M. Torrén','Miguel Ángel Torrén',73,'Argentina',33.0,'Argentinos Juniors',11000.0
'R. Rey','Rodrigo Rey',73,'Argentina',31.0,'Gimnasia y Esgrima La Plata',11000.0
'N. Phillips','Nathaniel Phillips',73,'England',25.0,'Liverpool',57000.0
'T. Cleverley','Tom Cleverley',73,'England',32.0,'Watford',34000.0
'M. de los Santos','Matías de los Santos',73,'Uruguay',29.0,'Vélez Sarsfield',12000.0
'A. Ousou','Aiham Ousou',73,'Sweden',22.0,'SK Slavia Praha',850.0
'K. Bonifazi','Kevin Bonifazi',73,'Italy',26.0,'Bologna',23000.0
'Enric Gallego','Enrique Gallego Puigsech',73,'Spain',35.0,'CD Tenerife',8000.0
'C. Tarragona','Cristian Tarragona',73,'Argentina',31.0,'Gimnasia y Esgrima La Plata',16000.0
'B. Davies','Ben Davies',73,'England',26.0,'Rangers FC',36000.0
'K. Grabara','Kamil Grabara',73,'Poland',23.0,'F.C. København',12000.0
'Freder Cabral','Frederico Peter Cabral Bardini',73,'Brazil',30.0,'Clube Atlético Mineiro',20000.0
'C. Hountondji','Cédric Hountondji',73,'Benin',28.0,'Angers SCO',18000.0
'Dagoberto Esteiro','Dago Filipe Esteiro Cortejo',73,'Brazil',26.0,'São Paulo',31000.0
'D. Khocholava','Davit Khocholava',73,'Georgia',29.0,'F.C. København',18000.0
'B. Schenkeveld','Bart Schenkeveld',73,'Netherlands',30.0,'Panathinaikos FC',700.0
'T. Nianzou','Tanguy Nianzou',73,'France',20.0,'Sevilla FC',13000.0
'J. Butland','Jack Butland',73,'England',29.0,'Crystal Palace',31000.0
'Júlio Tavares','Júlio Carolino Tavares',73,'Cape Verde Islands',33.0,'Al Raed',18000.0
'D. Boyko','Denys Boyko',73,'Ukraine',34.0,'Dynamo Kyiv',650.0
'Jo Hyeon Woo','Hyeon Woo Jo',73,'Korea Republic',30.0,'Ulsan Hyundai FC',8000.0
'G. Medel','Gary Medel',73,'Chile',34.0,'Bologna',23000.0
'F. De Paul','Fernando De Paul',73,'Chile',31.0,'CD Everton de Viña del Mar',3000.0
'M. Nzola','M''Bala Nzola',73,'Angola',25.0,'Spezia',16000.0
'S. Sunzu','Stoppila Sunzu',73,'Zambia',33.0,'Shijiazhuang Ever Bright F.C.',8000.0
'C. Gytkjær','Christian Gytkjær',73,'Denmark',32.0,'AC Monza',39000.0
'S. Babic','Srdan Babic',73,'Serbia',26.0,'Unión Deportiva Almería',19000.0
'Soldado','Roberto Soldado Rillo',73,'Spain',37.0,'Levante Unión Deportiva',9000.0
'Pulido','Jorge Pulido Mayoral',73,'Spain',31.0,'SD Huesca',9000.0
'G. Larsonneur','Gautier Larsonneur',73,'France',25.0,'Valenciennes FC',13000.0
'F. Bardi','Francesco Bardi',73,'Italy',30.0,'Bologna',18000.0
'M. Mancosu','Marco Mancosu',73,'Italy',33.0,'Cagliari',5000.0
'Felipe Silva','Felipe de Sousa Silva',73,'Brazil',29.0,'Chengdu Rongcheng F.C.',10000.0
'L. González Pirez','Leandro González Pirez',73,'Argentina',30.0,'River Plate',7000.0
'Cantero','Ander Cantero Armendariz',73,'Spain',27.0,'SD Eibar',7000.0
'R. Glatzel','Robert Glatzel',73,'Germany',28.0,'Hamburger SV',14000.0
'Javi Sánchez','Javier Sánchez de Felipe',73,'Spain',25.0,'Real Valladolid CF',16000.0
'M. Müller','Marius Müller',73,'Germany',28.0,'FC Luzern',11000.0
'Sergi Guardiola','Sergio Guardiola Navarro',73,'Spain',31.0,'Real Valladolid CF',20000.0
'Antunes','Vitorino Pacheco Antunes',73,'Portugal',35.0,'FC Paços de Ferreira',6000.0
'L. Díaz','Leandro Díaz',73,'Argentina',30.0,'Estudiantes de La Plata',12000.0
'Marlon','Marlon Rodrigues Xavier',73,'Brazil',25.0,'MKE Ankaragücü',11000.0
'S. Moyano','Sebastián Moyano',73,'Argentina',31.0,'Unión de Santa Fe',9000.0
'Yan Junling','Junling Yan',73,'China PR',31.0,'Shanghai Port FC',12000.0
'F. Noguera','Fabián Noguera',73,'Argentina',29.0,'Estudiantes de La Plata',11000.0
'L. Kelly','Lloyd Kelly',73,'England',23.0,'AFC Bournemouth',28000.0
'M. Travers','Mark Travers',73,'Republic of Ireland',23.0,'AFC Bournemouth',22000.0
'D. Vavro','Denis Vavro',73,'Slovakia',26.0,'F.C. København',17000.0
'S. Iljutcenko','Stanislav Iljutcenko',73,'Russia',31.0,'FC Seoul',8000.0
'R. Hatate','Reo Hatate',73,'Japan',24.0,'Celtic',34000.0
'C. Højer','Casper Højer',73,'Denmark',27.0,'AC Sparta Praha',850.0
'Jorge Praceira','Jorge Renato Praceira Diniz',73,'Brazil',30.0,'Palmeiras',26000.0
'A. Diamanti','Alessandro Diamanti',73,'Italy',39.0,'Western United FC',3000.0
'B. Bereszynski','Bartosz Bereszynski',73,'Poland',29.0,'U.C. Sampdoria',15000.0
'A. Hassan','Ahmed Hassan',73,'Egypt',29.0,'Aytemiz Alanyaspor',20000.0
'Munir','Munir Mohand Mohamedi',73,'Morocco',33.0,'Al Wehda',15000.0
'D. Bentley','Daniel Bentley',73,'England',28.0,'Bristol City',22000.0
'P. Jones','Phil Jones',73,'England',30.0,'Manchester United',64000.0
'D. Popov','Denys Popov',73,'Ukraine',23.0,'Dynamo Kyiv',650.0
'S. Deli','Simon Deli',73,'Côte d''Ivoire',30.0,'Adana Demirspor',16000.0
'Guto Costinho','Guto Ramón Costinho Ribeiro',73,'Brazil',34.0,'Palmeiras',26000.0
'Nolito','Manuel Agudo Durán',73,'Spain',35.0,'UD Ibiza',6000.0
'G. Charbonnier','Gaëtan Charbonnier',73,'France',33.0,'AJ Auxerre',17000.0
'T. Cvancara','Tomá Cvancara',73,'Czech Republic',21.0,'AC Sparta Praha',800.0
'F. Garcés','Facundo Garcés',73,'Argentina',22.0,'Club Atlético Colón',9000.0
'P. Pekarík','Peter Pekarík',73,'Slovakia',35.0,'Hertha BSC',16000.0
'J. García','Javier García',73,'Argentina',35.0,'Boca Juniors',7000.0
'Marcão','Amaral Alves Marcos Vinicius',73,'Brazil',28.0,'Wuhan Three Towns',18000.0
'J. Okumu','Joseph Okumu',73,'Kenya',25.0,'KAA Gent',16000.0
'Sergi Gómez','Sergi Gómez Solà',73,'Spain',30.0,'RCD Espanyol de Barcelona',14000.0
'P. Pentz','Patrick Pentz',73,'Austria',25.0,'Stade de Reims',13000.0
'L. Menossi','Lucas Menossi',73,'Argentina',29.0,'Club Atlético Tigre',11000.0
'L. Orellano','Luca Orellano',73,'Argentina',22.0,'Vélez Sarsfield',12000.0
'G. Gómez','Gastón Gómez',73,'Argentina',26.0,'Racing Club',12000.0
'C. Starfelt','Carl Starfelt',73,'Sweden',27.0,'Celtic',36000.0
'Vitinha','Vítor Manuel Carvalho Oliveira',73,'Portugal',22.0,'SC Braga',12000.0
'S. Polter','Sebastian Polter',73,'Germany',31.0,'FC Schalke 04',22000.0
'J. Barroso','Julio Alberto Barroso',73,'Argentina',37.0,'CD Everton de Viña del Mar',3000.0
'V. Janssen','Vincent Janssen',73,'Netherlands',28.0,'Royal Antwerp FC',20000.0
'G. Clichy','Gaël Clichy',73,'France',36.0,'Servette FC',10000.0
'I. Ganago','Ignatius Ganago',73,'Cameroon',23.0,'FC Nantes',20000.0
'P. Goltz','Paolo Goltz',73,'Argentina',37.0,'Club Atlético Colón',8000.0
'Samuel Portugal','Samuel Portugal Lima',73,'Brazil',28.0,'FC Porto',9000.0
'A. Frías','Adonis Frías',73,'Argentina',24.0,'Defensa y Justicia',10000.0
'T. Kaminski','Thomas Kaminski',73,'Belgium',29.0,'Blackburn Rovers',27000.0
'M. Lovato','Matteo Lovato',73,'Italy',22.0,'US Salernitana 1919',17000.0
'L. Badé','Loïc Badé',73,'France',22.0,'Nottingham Forest',26000.0
'W. Faríñez','Wuilker Faríñez',73,'Venezuela',24.0,'Racing Club de Lens',15000.0
'I. Jones','Isaiah Jones',73,'England',23.0,'Middlesbrough',18000.0
'Aderllan Santos','Aderllan de Jesus Santos',73,'Brazil',33.0,'Rio Ave FC',8000.0
'Lucas João','Lucas Eduardo dos Santos João',73,'Angola',28.0,'Reading',19000.0
'Corpas','José Corpas Serna',73,'Spain',30.0,'SD Eibar',9000.0
'C. Burgess','Christian Burgess',73,'England',30.0,'Royale Union Saint-Gilloise',13000.0
'D. Zeefuik','Deyovaisio Zeefuik',73,'Netherlands',24.0,'Hertha BSC',19000.0
'P. Pervan','Pavao Pervan',73,'Austria',34.0,'VfL Wolfsburg',24000.0
'D. Heuer Fernandes','Daniel Heuer Fernandes',73,'Portugal',29.0,'Hamburger SV',10000.0
'T. Heaton','Tom Heaton',73,'England',36.0,'Manchester United',34000.0
'J. García','Juan Manuel García',73,'Argentina',29.0,'Newell''s Old Boys',15000.0
'T. Sippel','Tobias Sippel',73,'Germany',34.0,'Borussia Mönchengladbach',16000.0
'V. Milinkovic-Savic','Vanja Milinkovic-Savic',73,'Serbia',25.0,'Torino F.C.',22000.0
'J. Toljan','Jeremy Toljan',73,'Germany',27.0,'U.S. Sassuolo Calcio',23000.0
'E. Green','Etienne Green',73,'England',21.0,'AS Saint-Étienne',4000.0
'A. Conti','Andrea Conti',73,'Italy',28.0,'U.C. Sampdoria',15000.0
'M. Blaic','Miha Blaic',73,'Slovenia',29.0,'Angers SCO',18000.0
'G. Lapadula','Gianluca Lapadula',73,'Peru',32.0,'Cagliari',5000.0
'M. Schuhen','Marcel Schuhen',73,'Germany',29.0,'SV Darmstadt 98',13000.0
'Sergio León','Sergio León Limones',73,'Spain',33.0,'Real Valladolid CF',20000.0
'Gustavo Henrique','Gustavo H. Vernes',73,'Brazil',29.0,'Fenerbahçe SK',43000.0
'S. Johnson','Sean Johnson',73,'United States',33.0,'New York City FC',6000.0
'I. ehic','Ibrahim ehic',73,'Bosnia and Herzegovina',33.0,'Ittifak Holding Konyaspor',11000.0
'A. Maxsø','Andreas Maxsø',73,'Denmark',28.0,'Brøndby IF',13000.0
'Jason','David Jason Remeseiro Salgueiro',73,'Spain',27.0,'Deportivo Alavés',11000.0
'C. Hérelle','Christophe Hérelle',73,'France',29.0,'Stade Brestois 29',18000.0
'D. Lenihan','Darragh Lenihan',73,'Republic of Ireland',28.0,'Middlesbrough',22000.0
'Hugo Goiteira','Hugo Goiteira Regalo',73,'Brazil',30.0,'Ceará Sporting Club',11000.0
'A. Callens','Alexander Callens',73,'Peru',30.0,'New York City FC',7000.0
'Francés','Alejandro Francés Torrijo',73,'Spain',19.0,'Real Zaragoza',5000.0
'G. Athanasiadis','Giorgos Athanasiadis',73,'Greece',29.0,'AEK Athens',850.0
'S. Mounié','Steve Mounié',73,'Benin',27.0,'Stade Brestois 29',21000.0
'S. Lung','Silviu Lung',73,'Romania',33.0,'Al Raed',12000.0
'D. Heintz','Dominique Heintz',73,'Germany',28.0,'VfL Bochum 1848',23000.0
'S. Luperto','Sebastiano Luperto',73,'Italy',25.0,'Empoli',31000.0
'M. Zeghba','Moustapha Zeghba',73,'Algeria',31.0,'Damac FC',13000.0
'C. Mathenia','Christian Mathenia',73,'Germany',30.0,'1. FC Nürnberg',9000.0
'Miguel Silva','João Miguel Macedo da Silva',73,'Portugal',27.0,'Clube Sport Marítimo',7000.0
'Mardial Cunha','Mardial Sidney Cunha Sousa',73,'Brazil',22.0,'Fortaleza',9000.0
'R. Healey','Rhys Healey',73,'England',27.0,'Toulouse Football Club',17000.0
'K. Grosicki','Kamil Grosicki',73,'Poland',34.0,'Pogon Szczecin',9000.0
'A. Colak','Antonio Colak',73,'Croatia',28.0,'Rangers FC',44000.0
'E. Berisha','Etrit Berisha',73,'Albania',33.0,'Torino F.C.',24000.0
'Eric Botteghin','Eric Fernando Botteghin',73,'Brazil',34.0,'Ascoli',5000.0
'F. Moufi','Fahd Moufi',73,'Morocco',26.0,'Portimonense SC',7000.0
'L. Mejía','Luis Mejía',73,'Panama',31.0,'Unión Española',4000.0
'S. Frei','Stefan Frei',73,'United States',36.0,'Seattle Sounders FC',4000.0
'M. Bulka','Marcin Bulka',73,'Poland',22.0,'OGC Nice',19000.0
'J. Góralski','Jacek Góralski',73,'Poland',29.0,'VfL Bochum 1848',19000.0
'S. Prevljak','Smail Prevljak',73,'Bosnia and Herzegovina',27.0,'KAS Eupen',12000.0
'M. van der Hoorn','Mike van der Hoorn',73,'Netherlands',29.0,'FC Utrecht',13000.0
'M. Gavranovic','Mario Gavranovic',73,'Switzerland',32.0,'Yukatel Kayserispor',17000.0
'Paulson Junqueira','Paulson Otávio Junqueira Gonçalves',73,'Brazil',26.0,'Sport Club Corinthians Paulista',21000.0
'M. Campaña','Martín Campaña',73,'Uruguay',33.0,'Al Batin',11000.0
'D. Iversen','Daniel Iversen',73,'Denmark',24.0,'Leicester City',33000.0
'Fran Vélez','Francisco Vélez Jiménez',73,'Spain',31.0,'Al Fateh',22000.0
'T. Chorý','Tomá Chorý',73,'Czech Republic',27.0,'FC Viktoria Plzen',1000.0
'I. Moriba','Ilaix Moriba',73,'Guinea',19.0,'Valencia CF',20000.0
'Carlos Coronel','Carlos Miguel Coronel',73,'Brazil',25.0,'New York Red Bulls',5000.0
'J. Larsen','Jørgen Strand Larsen',73,'Norway',22.0,'RC Celta de Vigo',18000.0
'Frederico Venâncio','Frederico André Ferrão Venâncio',73,'Portugal',29.0,'SD Eibar',9000.0
'M. Günok','Mert Günok',73,'Turkey',33.0,'Besiktas JK',27000.0
'O. Hüsing','Oliver Hüsing',73,'Germany',29.0,'DSC Arminia Bielefeld',15000.0
'J. Cooper','Jake Cooper',73,'England',27.0,'Millwall',12000.0
'N. Viergever','Nick Viergever',73,'Netherlands',32.0,'FC Utrecht',13000.0
'M. Yoshida','Maya Yoshida',73,'Japan',33.0,'FC Schalke 04',18000.0
'V. Berisha','Veton Berisha',73,'Norway',28.0,'Hammarby IF',8000.0
'M. Leverbe','Maxime Leverbe',73,'France',25.0,'Benevento',4000.0
'K. Ayhan','Kaan Ayhan',73,'Turkey',27.0,'U.S. Sassuolo Calcio',23000.0
'J. Martínez','José Andrés Martínez',73,'Venezuela',27.0,'Philadelphia Union',7000.0
'A. Long','Aaron Long',73,'United States',29.0,'New York Red Bulls',7000.0
'E. Gigliotti','Emmanuel Gigliotti',73,'Argentina',35.0,'Club Nacional de Football',650.0
'Juan Carlos','Juan Carlos Martín Corral',73,'Spain',34.0,'Girona FC',15000.0
'D. Dibusz','Dénes Dibusz',73,'Hungary',31.0,'Ferencvárosi TC',700.0
'M. Veljkovic','Milo Veljkovic',73,'Serbia',26.0,'SV Werder Bremen',18000.0
'C. Pinsoglio','Carlo Pinsoglio',73,'Italy',32.0,'Juventus',47000.0
'D. Fry','Dael Fry',73,'England',24.0,'Middlesbrough',18000.0
'K. Moore','Kieffer Moore',73,'Wales',29.0,'AFC Bournemouth',40000.0
'Rodrigo Pinho','Rodrigo Cunha Pereira de Pinho',73,'Brazil',31.0,'SL Benfica',12000.0
'E. Demirovic','Ermedin Demirovic',73,'Bosnia and Herzegovina',24.0,'FC Augsburg',21000.0
'M. Danielson','Marcus Danielson',73,'Sweden',33.0,'Djurgårdens IF',7000.0
'Rafa Soares','Luís Rafael Soares Alves',73,'Portugal',27.0,'PAOK',1000.0
'Claudinho Vair','Claudiano Vair Paes Neto',73,'Brazil',34.0,'São Paulo',31000.0
'P. Djilobodji','Papy Djilobodji',73,'Senegal',33.0,'Gazisehir Gaziantep F.K.',14000.0
'R. Yilmaz','Ridvan Yilmaz',73,'Turkey',21.0,'Rangers FC',26000.0
'Emu Teixeira','Emanuel Breno Teixeira Rocha',73,'Brazil',38.0,'América Futebol Clube',9000.0
'E. Room','Eloy Room',73,'Curacao',33.0,'Columbus Crew',6000.0
'R. Lauritsen','Rasmus Lauritsen',73,'Denmark',26.0,'Dinamo Zagreb',800.0
'Ó. Estupiñán','Óscar Estupiñán',73,'Colombia',25.0,'Hull City',16000.0
'Enzo Merques','Enzo Diogo Merques Gomes',73,'Brazil',26.0,'Internacional',20000.0
'J. Larsson','Johan Larsson',73,'Sweden',32.0,'IF Elfsborg',5000.0
'B. Leroy','Benjamin Leroy',73,'France',33.0,'AC Ajaccio',12000.0
'R. Pierre-Gabriel','Ronaël Pierre-Gabriel',73,'France',24.0,'RC Strasbourg Alsace',17000.0
'J. Pohjanpalo','Joel Pohjanpalo',73,'Finland',27.0,'Venezia FC',5000.0
'D. Roef','Davy Roef',73,'Belgium',28.0,'KAA Gent',14000.0
'F. Bandinelli','Filippo Bandinelli',73,'Italy',27.0,'Empoli',10000.0
'G. Pereiro','Gastón Pereiro',73,'Uruguay',27.0,'Cagliari',5000.0
'F. Fernández','Federico Fernández',73,'Argentina',33.0,'Elche CF',15000.0
'C. Kelleher','Caoimhin Kelleher',73,'Republic of Ireland',23.0,'Liverpool',40000.0
